employees,volume,eps,profit,income,cash,liab,assets,cap,shares,ticker
95000,1021501,2.77,16579000000,7214000000,4564000000,31955000000,47072000000,84597047296,571100032,MMM
13700,294530,0.6,1310900000,625600000,443300000,1642200000,3474400000,10396492800,131049000,AOS
113000,2163534,1.32,25009000000,8211000000,9799000000,39172000000,75196000000,207931932672,1763480064,ABT
50000,2625720,2.95,38883000000,12989000000,9746000000,131093000000,146529000000,281089736704,1768749952,ABBV
1725,48859,1.24,685615000,288220000,232710000,164684000,1494359000,14017168384,45516200,ABMD
9800,2266844,0.84,6486000000,3164000000,10423000000,7457000000,25056000000,61687889920,779281024,ATVI
39218,4279568,1.39,5987000000,3313000000,943000000,33369000000,56136000000,49431343104,562166976,ADM
25988,9412144,3.03,13920000000,5705000000,3844000000,12444000000,27241000000,199882424320,472351008,ADBE
56000,343485,1.89,6768100000,3361200000,2575200000,43102400000,48772500000,89797214208,420044992,ADP
41000,424205,3.34,4931356000,805925000,601428000,9065918000,12194209000,12953913344,61097600,AAP
8450,2811222,0.28,2711000000,-1088000000,943000000,28336000000,32963000000,15723826176,667395008,AES
12447,680573,1.53,9104000000,5322000000,5051000000,124289000000,157542000000,41533575168,649368000,AFL
36600,1213452,1.05,19531000000,12099000000,2198000000,527200000000,596112000000,50800160768,814758016,AIG
20000,453933,2.08,3136900000,2507400000,4468900000,12771200000,26859200000,52908879872,221716992,APD
8700,393823,1.38,2192267000,714213000,536725000,3608659000,8138673000,18651564032,160347008,AKAM
20550,898604,-3.51,939000000,629000000,470000000,10150000000,13951000000,6832262144,125912000,ALK
6000,435743,1.1,1008471000,229388000,439272000,5168511000,10974118000,24556044288,117112000,ALB
559,181994,0.04,1502850000,654282000,361348000,11186123000,30219373000,30558709760,159943008,ARE
22540,307144,2.49,2935355000,1012423000,1099370000,2319396000,5942110000,35032481792,78795504,ALGN
11000,212384,1.2,1204900000,524000000,397900000,2288600000,3051000000,10071941120,88230400,ALLE
3313,304592,0.68,1556000000,585000000,39000000,12563000000,18553000000,15011207168,250479008,LNT
54300,840827,6.11,13969000000,6448000000,763000000,74313000000,99440000000,38340767744,278345984,ALL
156500,661506,26.29,146698000000,90734000000,20945000000,107633000000,359268000000,1812256391168,300755008,GOOGL
156500,576712,26.29,146698000000,90734000000,20945000000,107633000000,359268000000,1783279124480,315639008,GOOG
6000,3657351,1.07,13940000000,3824000000,4544000000,41129000000,39523000000,96769097728,1817260032,MO
1608000,1612945,15.79,197478000000,38155000000,36220000000,282304000000,420549000000,1680233463808,508844000,AMZN
